Project Name,Package Name,Type Name,Method Name,Code Smell
ant-rel-1.8.0,(default package),AssertionTest,testAssertRaised,Empty catch clause
ant-rel-1.8.0,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant-rel-1.8.0,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant-rel-1.8.0,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,findNextResource,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,setClassPath,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,addPathFile,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,addPathFile,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,addPathFile,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,addPathFile,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,initializeClass,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,getResourceAsStream,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,getResourceStream,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,getResource,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,findResources,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,definePackage,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,definePackage,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,definePackage,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,cleanup,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,AntClassLoader,newAntClassLoader,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,ResourceEnumeration,findNextResource,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,AntTypeDefinition,checkClass,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,AntTypeDefinition,sameDefinition,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,ComponentHelper,createNewTask,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,ComponentHelper,updateDataTypeDefinition,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,ComponentHelper,diagnoseCreationFailure,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,ComponentHelper,diagnoseCreationFailure,Long Method
ant-rel-1.8.0,org.apache.tools.ant,DefaultLogger,messageLogged,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,DemuxOutputStream,resetBufferInfo,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,validateVersion,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,doReportTempDir,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,doReportTempDir,Magic Number
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,doReportLocale,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,setBasedir,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,scan,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,scan,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,slowScan,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,scandir,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,scandir,Long Parameter List
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Long Parameter List
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,processIncluded,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,processIncluded,Long Parameter List
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,isIncluded,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,couldHoldIncluded,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,contentsExcluded,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,isExcluded,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,causesIllegalSymlinkLoop,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,DirectoryScanner,causesIllegalSymlinkLoop,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,addText,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getNestedCreator,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getNestedCreator,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getNestedCreator,Long Parameter List
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getElementCreator,Long Parameter List
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getElementType,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getAttributeType,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getElementMethod,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getAttributeMethod,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Method
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,set,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getEnumSetter,Empty catch clause
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getEnumSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,getEnumSetter,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,set,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,setObject,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createAddTypeCreator,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,findMatchingMethod,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,condenseText,Magic Number
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,findRestrictedDefinition,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,IntrospectionHelper,createRestricted,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,AttributeSetter,setObject,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,Main,processArgs,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,Main,processArgs,Complex Conditional
ant-rel-1.8.0,org.apache.tools.ant,Main,processArgs,Complex Method
ant-rel-1.8.0,org.apache.tools.ant,Main,processArgs,Long Method
ant-rel-1.8.0,org.apache.tools.ant,Main,processArgs,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,Main,processArgs,Long Statement
ant-rel-1.8.0,org.apache.tools.ant,Main,handleArgDefine,Magic Number
ant-rel-1.8.0,org.apache.tools.ant,Main,runBuild,Complex Method
